Sort order,"Major area, region, country or area of destination",Notes,Country code,Type of data (a),1990,2000,2010,2013,1990,2000,2010,2013,1990,2000,2010,2013
35,Democratic Republic of the Congo,,180,B R,  754 194,  616 430,  459 074,  446 924,  363 117,  294 584,  221 013,  216 219,  391 077,  321 846,  238 061,  230 705
36,Equatorial Guinea,,226,C,  2 740,  4 517,  8 658,  10 141,  1 465,  2 394,  4 734,  5 587,  1 275,  2 123,  3 924,  4 554
37,Gabon,,266,C,  127 667,  210 486,  350 829,  394 953,  72 875,  120 115,  205 709,  233 265,  54 792,  90 371,  145 120,  161 688
38,Sao Tome and Principe,,678,C,  5 808,  5 524,  6 107,  6 345,  3 047,  2 885,  3 280,  3 432,  2 761,  2 639,  2 827,  2 913
39,Northern Africa,,912,, 2 408 209, 1 872 537, 1 925 674, 1 862 765, 1 283 297, 1 037 062, 1 106 917, 1 089 763, 1 124 912,  835 475,  818 757,  773 002
40,Algeria,,12,C R,  273 954,  250 110,  244 964,  270 407,  150 234,  137 158,  134 339,  148 733,  123 720,  112 952,  110 625,  121 674
41,Egypt,,818,B R,  175 574,  169 149,  280 714,  297 448,  92 916,  89 917,  157 647,  167 806,  82 658,  79 232,  123 067,  129 642
42,Libya,,434,C,  457 482,  558 770,  699 144,  755 974,  295 076,  360 407,  457 951,  498 243,  162 406,  198 363,  241 193,  257 731
43,Morocco,,504,C,  57 597,  53 124,  50 113,  50 771,  28 540,  26 514,  25 891,  26 566,  29 057,  26 610,  24 222,  24 205
44,Sudan,(3),729,B R, 1 402 896,  801 883,  612 663,  446 707,  696 385,  403 048,  311 589,  226 945,  706 511,  398 835,  301 074,  219 762
45,Tunisia,,788,C,  38 018,  36 212,  33 583,  36 526,  18 681,  18 181,  16 888,  18 567,  19 337,  18 031,  16 695,  17 959
46,Western Sahara,,732,I,  2 688,  3 289,  4 493,  4 932,  1 465,  1 837,  2 612,  2 903,  1 223,  1 452,  1 881,  2 029
47,Southern Africa,,913,, 1 623 520, 1 176 755, 2 262 166, 2 625 761,  995 990,  695 780, 1 311 924, 1 514 924,  627 530,  480 975,  950 242, 1 110 837
48,Botswana,,72,C,  27 510,  55 937,  120 912,  146 456,  16 614,  32 241,  66 692,  80 058,  10 896,  23 696,  54 220,  66 398
49,Lesotho,,426,C R,  8 240,  6 167,  3 495,  3 095,  4 318,  3 335,  2 172,  1 998,  3 922,  2 832,  1 323,  1 097
50,Namibia,,516,B,  123 801,  79 276,  54 787,  51 448,  66 073,  41 938,  28 844,  27 047,  57 728,  37 338,  25 943,  24 401
51,South Africa,,710,B R, 1 388 978, 1 001 825, 2 055 777, 2 399 238,  869 663,  599 178, 1 199 264, 1 391 918,  519 315,  402 647,  856 513, 1 007 320
52,Swaziland,,748,B R,  74 991,  33 550,  27 195,  25 524,  39 322,  19 088,  14 952,  13 903,  35 669,  14 462,  12 243,  11 621
53,Western Africa,,914,, 4 343 422, 5 879 427, 6 277 306, 6 696 466, 2 331 272, 3 094 535, 3 346 151, 3 571 245, 2 012 150, 2 784 892, 2 931 155, 3 125 221
54,Benin,,204,C B R,  76 212,  133 730,  209 267,  234 241,  40 092,  71 624,  116 139,  131 051,  36 120,  62 106,  93 128,  103 190
55,Burkina Faso,,854,B R,  349 657,  520 039,  673 904,  696 983,  167 836,  250 399,  320 684,  331 667,  181 821,  269 640,  353 220,  365 316
56,Cape Verde,,132,B,  8 931,  11 027,  14 373,  14 874,  4 429,  5 753,  7 293,  7 524,  4 502,  5 274,  7 080,  7 350
57,Côte d'Ivoire,,384,C B, 1 816 426, 2 336 362, 2 371 722, 2 446 171, 1 011 749, 1 289 672, 1 330 500, 1 378 249,  804 677, 1 046 690, 1 041 222, 1 067 922
58,Gambia,,270,B,  118 123,  185 116,  165 815,  162 919,  66 306,  98 029,  82 158,  79 777,  51 817,  87 087,  83 657,  83 142
59,Ghana,,288,B,  164 851,  191 601,  337 017,  358 829,  83 030,  97 279,  182 554,  195 345,  81 821,  94 322,  154 463,  163 484
60,Guinea,,324,C R,  241 121,  709 854,  346 305,  378 464,  118 873,  336 977,  166 601,  182 779,  122 248,  372 877,  179 704,  195 685
61,Guinea-Bissau,,624,B R,  13 866,  19 233,  18 030,  18 024,  6 939,  9 625,  9 141,  9 168,  6 927,  9 608,  8 889,  8 856
62,Liberia,,430,B,  80 831,  159 586,  117 099,  225 484,  44 375,  87 611,  67 152,  119 724,  36 456,  71 975,  49 947,  105 760
63,Mali,,466,B R,  165 275,  173 010,  189 827,  195 553,  85 067,  89 789,  99 160,  102 359,  80 208,  83 221,  90 667,  93 194
64,Mauritania,,478,C R,  93 878,  62 593,  89 178,  90 206,  54 661,  36 301,  52 115,  52 850,  39 217,  26 292,  37 063,  37 356
65,Niger,,562,B R,  115 516,  122 290,  130 053,  132 294,  55 246,  58 206,  61 603,  62 573,  60 270,  64 084,  68 450,  69 721
66,Nigeria,,566,C R,  447 411,  751 126, 1 111 236, 1 233 592,  251 493,  408 790,  598 160,  663 035,  195 918,  342 336,  513 076,  570 557
67,Saint Helena,(4),654,B,   383,   405,   569,   590,   222,   215,   312,   325,   161,   190,   257,   265
68,Senegal,,686,B R,  270 958,  230 628,  210 227,  209 398,  140 332,  113 421,  102 920,  102 334,  130 626,  117 207,  107 307,  107 064
69,Sierra Leone,,694,B R,  217 375,  96 655,  97 059,  96 368,  120 169,  53 335,  52 357,  51 829,  97 206,  43 320,  44 702,  44 539
70,Togo,,768,B R,  162 608,  176 172,  195 625,  202 476,  80 453,  87 509,  97 302,  100 656,  82 155,  88 663,  98 323,  101 820
71,ASIA,,935,, 49 910 609, 50 414 639, 67 781 526, 70 846 771, 27 152 809, 27 507 858, 39 338 327, 41 372 612, 22 757 800, 22 906 781, 28 443 199, 29 474 159
72,Central Asia,,5500,, 6 630 683, 5 150 998, 5 352 623, 5 471 533, 2 972 284, 2 300 399, 2 538 470, 2 629 129, 3 658 399, 2 850 599, 2 814 153, 2 842 404
73,Kazakhstan,,398,B, 3 619 200, 2 871 300, 3 334 623, 3 476 233, 1 666 164, 1 321 855, 1 625 026, 1 715 290, 1 953 036, 1 549 445, 1 709 597, 1 760 943
74,Kyrgyzstan,,417,B,  623 083,  372 532,  242 883,  226 960,  260 416,  155 699,  108 512,  102 802,  362 667,  216 833,  134 371,  124 158
75,Tajikistan,,762,B,  428 900,  299 266,  278 153,  275 735,  187 912,  129 883,  119 875,  118 811,  240 988,  169 383,  158 278,  156 924
76,Turkmenistan,,795,B,  306 500,  241 000,  224 515,  226 327,  134 174,  103 865,  102 743,  104 955,  172 326,  137 135,  121 772,  121 372
77,Uzbekistan,,860,B, 1 653 000, 1 366 900, 1 272 449, 1 266 278,  723 618,  589 097,  582 314,  587 271,  929 382,  777 803,  690 135,  679 007
78,Eastern Asia,,906,, 3 961 266, 5 392 597, 7 221 539, 7 719 960, 2 006 887, 2 551 379, 3 310 341, 3 562 553, 1 954 379, 2 841 218, 3 911 198, 4 157 407
79,China,(5),156,I,  376 361,  508 034,  757 108,  848 511,  191 954,  254 082,  389 536,  440 482,  184 407,  253 952,  367 572,  408 029
80,"China, Hong Kong Special Administrative Region",(6),344,B, 2 218 473, 2 669 122, 2 782 147, 2 804 753, 1 124 544, 1 225 629, 1 148 445, 1 145 181, 1 093 929, 1 443 493, 1 633 702, 1 659 572
81,"China, Macao Special Administrative Region",(7),446,B,  200 478,  240 313,  321 145,  333 269,  94 321,  109 219,  155 186,  162 081,  106 157,  131 094,  165 959,  171 188
82,Democratic People's Republic of Korea,,408,I,  34 103,  36 183,  44 010,  46 813,  17 393,  17 731,  21 766,  23 233,  16 710,  18 452,  22 244,  23 580
83,Japan,,392,C, 1 075 626, 1 686 567, 2 339 265, 2 437 169,  547 986,  796 977, 1 052 112, 1 090 382,  527 640,  889 590, 1 287 153, 1 346 787
84,Mongolia,,496,C,  6 718,  8 206,  16 049,  17 225,  3 419,  4 564,  11 873,  12 616,  3 299,  3 642,  4 176,  4 609
85,Republic of Korea,,410,C,  49 507,  244 172,  961 815, 1 232 220,  27 270,  143 177,  531 423,  688 578,  22 237,  100 995,  430 392,  543 642
86,South-Eastern Asia,,920,, 3 200 204, 5 274 282, 8 694 924, 9 509 259, 1 668 962, 2 675 099, 4 489 302, 4 916 479, 1 531 242, 2 599 183, 4 205 622, 4 592 780
87,Brunei Darussalam,,96,B,  73 200,  104 128,  179 761,  206 173,  41 856,  58 183,  101 370,  116 582,  31 344,  45 945,  78 391,  89 591
88,Cambodia,,116,B,  38 375,  146 085,  81 977,  75 566,  19 084,  71 638,  43 385,  40 560,  19 291,  74 447,  38 592,  35 006
89,Indonesia,,360,C R,  465 612,  292 307,  286 829,  295 433,  229 885,  153 315,  177 672,  183 002,  235 727,  138 992,  109 157,  112 431
90,Lao People's Democratic Republic,,418,C R,  22 866,  21 734,  21 479,  21 801,  11 806,  11 261,  11 567,  11 848,  11 060,  10 473,  9 912,  9 953
91,Malaysia,(8),458,B R, 1 014 156, 1 613 797, 2 357 603, 2 469 173,  560 891,  876 912, 1 362 734, 1 449 163,  453 265,  736 885,  994 869, 1 020 010
92,Myanmar,,104,C,  133 538,  98 024,  100 714,  103 117,  72 306,  52 176,  53 581,  54 902,  61 232,  45 848,  47 133,  48 215
93,Philippines,,608,C R,  159 430,  322 667,  204 896,  213 150,  84 126,  164 127,  106 118,  110 421,  75 304,  158 540,  98 778,  102 729
